combo,system,policy,length,num_samples,seed,gui_nmse_q_mean_old,gui_nmse_p_mean_old,gui_hamres_mean_old,all3_win_count_old,win_nmse_q_count_old,win_nmse_p_count_old,win_hamres_count_old,gui_nmse_q_mean_new,gui_nmse_p_mean_new,gui_hamres_mean_new,all3_win_count_new,win_nmse_q_count_new,win_nmse_p_count_new,win_hamres_count_new,d_gui_nmse_q_mean,d_gui_nmse_p_mean,d_gui_hamres_mean,all3_win_rate_old,all3_win_rate_new,d_all3_win_rate,better_q,better_p,better_h,better_all3
3dof_gp_L1100_N100_seed10,3dof,gp,1100,100,10,1.9790887134629385,1.166165681082947,0.1326885351724922,53,65,61,100,1.9790759130999411,1.1661505624240105,0.132766377441585,53,65,61,100,-1.2800362997333892e-05,-1.511865893655262e-05,7.784226909279823e-05,0.53,0.53,0.0,True,True,False,False
3dof_gp_L1150_N100_seed10,3dof,gp,1150,100,10,6.362744924587186,1.701338184880035,0.3350705274939537,44,58,57,100,6.362701806913838,1.701322383677969,0.3350938511267304,44,58,57,100,-4.3117673347303764e-05,-1.5801202066123565e-05,2.3323632776683922e-05,0.44,0.44,0.0,True,True,False,False
3dof_gp_L1200_N100_seed10,3dof,gp,1200,100,10,7.083664095888761,2.201960819817131,0.5155156072974205,41,47,55,100,7.083157280298472,2.201962918963894,0.5154340220987796,41,48,55,100,-0.000506815590288312,2.099146762635229e-06,-8.158519864087665e-05,0.41,0.41,0.0,True,False,True,False
3dof_zero_L50_N100_seed10,3dof,zero,50,100,10,29.43624829901747,23.49892850315558,0.1747378709260374,77,79,98,100,29.338493824964885,23.34358620035193,0.1748885115678422,77,79,98,100,-0.09775447405258575,-0.1553423028036498,0.00015064064180478343,0.77,0.77,0.0,True,True,False,False
3dof_zero_L100_N100_seed10,3dof,zero,100,100,10,75.37966694053858,0.284557627564371,0.0033331403297779,64,66,98,100,75.32841639688318,0.285087106717811,0.003325034846639,64,66,98,100,-0.05125054365539938,0.0005294791534400378,-8.105483138899985e-06,0.64,0.64,0.0,True,False,True,False
3dof_zero_L150_N100_seed10,3dof,zero,150,100,10,7.367455469225141,0.0634347280262907,0.0051295301658683,61,64,97,100,7.367103360937937,0.0634272518052701,0.0050822979224903,61,64,97,100,-0.00035210828720444454,-7.476221020596974e-06,-4.7232243378000395e-05,0.61,0.61,0.0,True,True,True,False
3dof_zero_L200_N100_seed10,3dof,zero,200,100,10,10.212380412612283,0.4235080613701706,0.013996007314563,66,69,93,100,10.23883888913651,0.4227603087607423,0.0140198991051875,66,69,93,100,0.02645847652422617,-0.0007477526094283315,2.389179062449974e-05,0.66,0.66,0.0,False,True,False,False
3dof_zero_L250_N100_seed10,3dof,zero,250,100,10,60.51404213872,0.2516725286700472,0.0207153161654423,58,60,92,100,60.82574411546387,0.2516636277708917,0.0206298090207565,58,60,92,100,0.3117019767438691,-8.900899155506181e-06,-8.550714468580009e-05,0.58,0.58,0.0,False,True,True,False
3dof_zero_L300_N100_seed10,3dof,zero,300,100,10,5.72973691663088,0.0590447795957007,0.0063679165238863,65,68,89,100,5.733946119048171,0.0589985117870436,0.0063433049834566,65,68,89,100,0.00420920241729128,-4.626780865710223e-05,-2.4611540429700027e-05,0.65,0.65,0.0,False,True,True,False
3dof_zero_L350_N100_seed10,3dof,zero,350,100,10,5.846103599900407,0.1006806853443568,0.0123619162998511,53,64,81,100,5.847150075168444,0.1007372534690932,0.0123549067882413,53,64,81,100,0.0010464752680370282,5.656812473639472e-05,-7.0095116098001925e-06,0.53,0.53,0.0,False,False,True,False
