method,length,sample_idx,rmse_p,range_p,nrmse_p
guided_dpf,300,19,0.016019613810639374,1.3570819436700676,0.023145690945658114
unguided_dpf,350,0,0.03741420237676601,1.489774651228,0.021145219782799495
guided_dpf,350,0,0.06366993366119549,1.4820269996825413,0.04001315813670928
unguided_dpf,350,1,0.027861835789420603,1.4963232118640637,0.02338788049772582
guided_dpf,350,1,0.00777907492054124,1.5190154643042197,0.005849920725259701
unguided_dpf,350,2,0.029872062068246052,1.4883599027842938,0.025972258956087197
guided_dpf,350,2,0.006040584518586268,1.4625321650931271,0.005218777807293379
unguided_dpf,350,3,0.04442041751628841,1.1717712554794302,0.08712304662797432
guided_dpf,350,3,0.02923430957358424,1.1846398335132378,0.053908080500245835
unguided_dpf,350,4,0.06286050675202941,1.4511739527731002,0.07320966703399205
guided_dpf,350,4,0.014063142723544197,1.4161124446606088,0.025525196760308923
unguided_dpf,350,5,0.1099005964440483,1.3566734846293553,0.1009512615704647
guided_dpf,350,5,0.0293763165630133,1.4160346024159178,0.034459445642723456
unguided_dpf,350,6,0.04146366896033412,1.6623340378088365,0.022617279292981032
guided_dpf,350,6,0.03838661082812769,1.6789361355742976,0.0185541390287928
unguided_dpf,350,7,0.023075584814649858,1.6169254695772992,0.03521456634238193
guided_dpf,350,7,0.029274939649988174,1.6094834155493647,0.04736922870342893
unguided_dpf,350,8,0.06839590629375801,1.692125968955259,0.03739978249008488
guided_dpf,350,8,0.04652662870592785,1.685178609787938,0.026116021795648387
unguided_dpf,350,9,0.023871849182478273,1.2990256529814694,0.017278859397902017
guided_dpf,350,9,0.02532476730090845,1.2961301801989535,0.019297008118750212
unguided_dpf,350,10,0.2597299466913904,1.2086073131887998,0.3405470921746027
guided_dpf,350,10,0.013901094709841246,0.9392507050909896,0.01915176309889869
unguided_dpf,350,11,0.03258824486917692,1.4303131009420784,0.03237107689559884
guided_dpf,350,11,0.009665218524437056,1.415567736601605,0.008721505601381052
unguided_dpf,350,12,0.023803509057048988,1.6588194686605988,0.01295903527243813
guided_dpf,350,12,0.006309042891090769,1.6462443869419296,0.0037914318583076247
unguided_dpf,350,13,0.028756086652798444,1.3755502603194172,0.06035405762174088
guided_dpf,350,13,0.011111727395157743,1.3605938530765729,0.024265455612549374
unguided_dpf,350,14,0.009291594534501754,1.669876664180966,0.006517698754736681
guided_dpf,350,14,0.010180007256576114,1.6657682093233568,0.007337216690391756
unguided_dpf,350,15,0.1788399805292813,1.684671163608283,0.09848964335897732
guided_dpf,350,15,0.06092639273805948,1.6962213515277267,0.03144419397764462
unguided_dpf,350,16,0.03706758936552624,1.6984671826578424,0.021721348103297344
guided_dpf,350,16,0.014605544482227074,1.7054165902297111,0.00837771247043863
unguided_dpf,350,17,0.018925761355358586,1.536066960843474,0.03151440876687735
guided_dpf,350,17,0.01779988348558076,1.5588394436081963,0.020486366228757515
unguided_dpf,350,18,0.06761586015934526,1.8456035134145878,0.05249445891096661
guided_dpf,350,18,0.013232108543165035,1.7815281026075833,0.011503953526424587
unguided_dpf,350,19,0.035842171667528074,1.46329702043527,0.03274981694084789
guided_dpf,350,19,0.039913052868502316,1.5581212953284176,0.03367728811088966
unguided_dpf,400,0,0.03284635633452606,1.6355450703738772,0.01816519777261297
guided_dpf,400,0,0.061830937754283395,1.6233037272091952,0.03992313701933597
unguided_dpf,400,1,0.08871568248832819,1.8215751029392688,0.04848026507439306
guided_dpf,400,1,0.0359113434532844,1.7979657588220033,0.020463992439341328
unguided_dpf,400,2,0.08408006888469342,1.3381791720365452,0.08798546486466004
guided_dpf,400,2,0.010516578023391085,1.3099277741849036,0.015510098142306755
unguided_dpf,400,3,0.034139191579265434,1.8128270161891293,0.029640191111649252
guided_dpf,400,3,0.035144065190599455,1.8250725769983305,0.029185162712578597
unguided_dpf,400,4,0.18583250114473407,1.3764580571882326,0.21730482670715576
guided_dpf,400,4,0.11450826468698048,1.4344190029307409,0.11819868321993754
