system,policy,length,n_samples,all3_win_rate,ratio_nrmse_q_mean,ratio_nrmse_q_std,imp_nrmse_q_mean,imp_nrmse_q_std,ung_nrmse_q_mean,ung_nrmse_q_std,ratio_nrmse_p_mean,ratio_nrmse_p_std,imp_nrmse_p_mean,imp_nrmse_p_std,ung_nrmse_p_mean,ung_nrmse_p_std,ratio_hamres_mean,ratio_hamres_std,imp_hamres_mean,imp_hamres_std,ung_hamres_mean,ung_hamres_std
2dof,spline,800,100,0.48,0.9039905998852924,0.5697833775100397,0.7,0.46056618647183833,0.06802893636637712,0.15763572311746873,0.9204058661248414,0.22650388088242282,0.57,0.497569851956243,0.3348438403995198,0.14219035190648496,0.1477707582112886,0.10854389660881555,1.0,0.0,4.7173442769050595,3.6911118430463263
2dof,spline,850,100,0.49,0.8638454405744553,0.4157455279079128,0.72,0.45126085985421305,0.041383666284703705,0.046176142331619145,0.9461203849524807,0.18373714031916175,0.63,0.4852365870939097,0.33456419057640896,0.14895632539025147,0.1456070558693763,0.10670356844915464,1.0,0.0,4.467460392713547,3.5271334844119973
2dof,spline,900,100,0.45,0.8230382157777416,0.37040737041106003,0.74,0.440844002276808,0.04751315178228836,0.06298602749660803,0.9506423676640954,0.20913314761153112,0.59,0.4943110704237103,0.342303143106093,0.13419494261167783,0.15393460243976598,0.1065223167842947,1.0,0.0,5.016127431988716,3.651067878642635
2dof,spline,950,100,0.57,0.8581971233769212,0.3843830170895968,0.73,0.4461960433384737,0.049391785868379515,0.07392834758316834,0.9386650944412289,0.18204004217836342,0.7,0.4605661864718382,0.33558640808251916,0.15429384733368465,0.20605826259662463,0.12345718053197222,1.0,0.0,5.136196365952491,4.111168629467927
2dof,spline,1000,100,0.49,0.8827272667882997,0.36522758857065607,0.67,0.47258156262526085,0.06719152663591288,0.12971948770097852,0.9446572763938604,0.16379130087836963,0.63,0.4852365870939097,0.34264269821945986,0.14998487625805848,0.2266583402473906,0.13118658159352206,1.0,0.0,6.027820578217506,4.498316638449607
2dof,zero,50,100,0.98,0.2504278617500158,0.2229105591356775,0.99,0.1,0.21425602617829778,0.1595694723775792,0.1975180319802999,0.17868408774645794,0.99,0.1,5.76742738482996,3.0162346582603834,0.03805912253597144,0.07303422343022564,1.0,0.0,7.044799082279205,5.4257026474863
2dof,zero,100,100,0.89,0.5074433116388042,0.27514758345944956,0.91,0.28762349126466136,0.06552327425015181,0.05908623105285072,0.31397366574226115,0.24057702317316765,0.97,0.1714466079977653,2.2833669582213143,1.0670812705709736,0.03789870711957397,0.06560834762587149,1.0,0.0,1.7417889910936355,1.705873159085057
2dof,zero,150,100,0.94,0.5171239117280968,0.2534921261652598,0.95,0.21904291355759034,0.051582042755649635,0.0583295832136923,0.3847539827472168,0.21312631231849985,0.99,0.09999999999999999,2.2988110769803725,1.3301626227904049,0.02468080525092556,0.02473304126968438,1.0,0.0,2.0677228450775145,1.860786270997252
2dof,zero,200,100,0.85,0.5771195346660474,0.3111530178103356,0.9,0.30151134457776363,0.04946263792009317,0.07054163485563532,0.4661292810203975,0.26781370803125165,0.94,0.23868325657594203,2.3674463656991427,1.6105025485743816,0.022509791095517234,0.01958543996190368,1.0,0.0,1.9330254632234574,1.9378441026309339
2dof,zero,250,100,0.89,0.5584928982941134,0.2846561625967399,0.94,0.238683256575942,0.036775073760572305,0.03386521697356325,0.4680876146042368,0.30219582109204673,0.93,0.25643239997624273,2.9758383467551086,1.8372135007092762,0.019431565731173713,0.02177730047496339,1.0,0.0,2.5757595938444138,2.133664082116479
2dof,zero,300,100,0.82,0.6212096364361123,0.3022193560868517,0.89,0.31446603773522014,0.04520237113772705,0.08190905635313318,0.5613805238628572,0.3339354681326551,0.92,0.27265992434429076,2.9569616960944813,1.8175511698993392,0.014411990550330447,0.012246673930181777,1.0,0.0,2.2461686116456985,2.011528861127697
