combo,system,policy,length,seed,sample_idx,ung_nrmse_q,gui_nrmse_q,d_nrmse_q,ung_nrmse_p,gui_nrmse_p,d_nrmse_p
3dof_gp_L350_N100_seed10,3dof,gp,350,10,76,0.052539831043256,0.019896900515726644,-0.032642930527529354,0.07979266153290014,0.04072278744797628,-0.039069874084923864
3dof_gp_L350_N100_seed10,3dof,gp,350,10,77,0.25508448551297863,0.08904388643094951,-0.16604059908202912,0.1118915059990596,0.024391917594466902,-0.0874995884045927
3dof_gp_L350_N100_seed10,3dof,gp,350,10,78,0.35369662288377857,0.30852454166155846,-0.045172081222220106,0.0235595497309732,0.020576887526113002,-0.0029826622048601988
3dof_gp_L350_N100_seed10,3dof,gp,350,10,79,0.6432845240859019,0.6726584315718612,0.02937390748595936,0.08469506521942367,0.033012231492412725,-0.05168283372701095
3dof_gp_L350_N100_seed10,3dof,gp,350,10,80,0.4733621717771726,0.19381845157939978,-0.27954372019777285,0.007723738673152133,0.015114881283473472,0.007391142610321339
3dof_gp_L350_N100_seed10,3dof,gp,350,10,81,0.8097606441871287,0.49819440547851573,-0.31156623870861294,0.0311632532716913,0.023101961054306095,-0.008061292217385205
3dof_gp_L350_N100_seed10,3dof,gp,350,10,82,0.14058278815007494,0.19229482791604238,0.051712039765967444,0.10601288184950973,0.09705028349872839,-0.008962598350781337
3dof_gp_L350_N100_seed10,3dof,gp,350,10,83,0.3548876243465906,0.5737468229411209,0.2188591985945303,0.09309215992746306,0.07622784686151472,-0.016864313065948336
3dof_gp_L350_N100_seed10,3dof,gp,350,10,84,0.3238364320785755,0.11239824872034476,-0.21143818335823072,0.05982601551615896,0.01464428749967938,-0.04518172801647958
3dof_gp_L350_N100_seed10,3dof,gp,350,10,85,0.21506750466125577,0.09979558802548016,-0.1152719166357756,0.007443730524764619,0.0038268118786703824,-0.0036169186460942365
3dof_gp_L350_N100_seed10,3dof,gp,350,10,86,0.031960875550953054,0.016259032834097853,-0.0157018427168552,0.01050585846400462,0.014785295719938646,0.004279437255934026
3dof_gp_L350_N100_seed10,3dof,gp,350,10,87,0.3525921403433661,0.32207412326362855,-0.03051801707973756,0.18443133673595566,0.11053680078061064,-0.07389453595534502
3dof_gp_L350_N100_seed10,3dof,gp,350,10,88,0.43498592333135355,0.3244891101975856,-0.11049681313376797,0.017717415304618258,0.012876800373558914,-0.004840614931059344
3dof_gp_L350_N100_seed10,3dof,gp,350,10,89,1.0858615863023668,1.0352924220580022,-0.05056916424436464,0.27155914489987204,0.12363266601287054,-0.1479264788870015
3dof_gp_L350_N100_seed10,3dof,gp,350,10,90,0.09496413094152469,0.0642081830479942,-0.03075594789353049,0.013584572896677449,0.004281668678083297,-0.009302904218594152
3dof_gp_L350_N100_seed10,3dof,gp,350,10,91,0.5234133107936648,0.23987972243114195,-0.28353358836252285,0.020375879678297345,0.01593523035227031,-0.004440649326027037
3dof_gp_L350_N100_seed10,3dof,gp,350,10,92,0.5453065049523426,0.7975558393267974,0.25224933437445485,0.06317179401551697,0.024385446663173976,-0.03878634735234299
3dof_gp_L350_N100_seed10,3dof,gp,350,10,93,1.0486576917776016,1.9520884170452215,0.9034307252676199,0.048953907436006104,0.027390059507840514,-0.02156384792816559
3dof_gp_L350_N100_seed10,3dof,gp,350,10,94,0.2536415633684524,0.03328106245878026,-0.22036050090967213,0.02686940658352756,0.005755278137331059,-0.021114128446196503
3dof_gp_L350_N100_seed10,3dof,gp,350,10,95,0.33047586251537636,0.35857680312076745,0.02810094060539109,0.004685776227519592,0.020769791741283416,0.016084015513763823
3dof_gp_L350_N100_seed10,3dof,gp,350,10,96,0.8210624711193851,0.4074568112729673,-0.41360565984641784,0.04698143921562855,0.026032394454812133,-0.020949044760816417
3dof_gp_L350_N100_seed10,3dof,gp,350,10,97,0.2708755082373239,0.23828118576042925,-0.03259432247689467,0.0369236782849156,0.01496721383206364,-0.02195646445285196
3dof_gp_L350_N100_seed10,3dof,gp,350,10,98,0.5304812658302431,0.4278438013773775,-0.10263746445286565,0.047281358086214885,0.014120991994242932,-0.033160366091971955
3dof_gp_L350_N100_seed10,3dof,gp,350,10,99,0.03048504660879268,0.03960238887029118,0.0091173422614985,0.012609744405050397,0.01656086241793881,0.003951118012888414
3dof_gp_L400_N100_seed10,3dof,gp,400,10,0,0.012982018237372139,0.2638813416975682,0.25089932346019606,0.021175253627839747,0.026377724537811748,0.005202470909972001
3dof_gp_L400_N100_seed10,3dof,gp,400,10,1,0.25103880323702404,0.06935832445931622,-0.18168047877770782,0.030095401888185744,0.007626345537278358,-0.022469056350907388
3dof_gp_L400_N100_seed10,3dof,gp,400,10,2,0.2741730429544509,0.27380698474471304,-0.00036605820973784065,0.06317494430562783,0.06996324315134357,0.006788298845715746
3dof_gp_L400_N100_seed10,3dof,gp,400,10,3,0.15510049499362188,0.3963323930759132,0.24123189808229134,0.0224097193521338,0.036613933773752244,0.014204214421618445
3dof_gp_L400_N100_seed10,3dof,gp,400,10,4,0.14540197810435446,0.24306633158366608,0.09766435347931163,0.028918866669194895,0.0055978110657737565,-0.02332105560342114
3dof_gp_L400_N100_seed10,3dof,gp,400,10,5,0.20875249734270565,0.16175529098412125,-0.0469972063585844,0.049660365864546446,0.029463313154475045,-0.0201970527100714
3dof_gp_L400_N100_seed10,3dof,gp,400,10,6,0.2578933952737321,0.24470260959553336,-0.013190785678198758,0.03414769868371377,0.15586265582436853,0.12171495714065476
3dof_gp_L400_N100_seed10,3dof,gp,400,10,7,0.07734756881343859,0.02391563065969943,-0.05343193815373916,0.039197387524344214,0.017167049129618438,-0.022030338394725776
3dof_gp_L400_N100_seed10,3dof,gp,400,10,8,0.19729875711614364,0.1483032045335958,-0.04899555258254784,0.17218725546051553,0.15433623181013573,-0.0178510236503798
3dof_gp_L400_N100_seed10,3dof,gp,400,10,9,0.18675516309237158,0.26471756347106906,0.07796240037869748,0.025457184586012083,0.031765528037646755,0.006308343451634672
3dof_gp_L400_N100_seed10,3dof,gp,400,10,10,0.1754539646189941,0.13426836836866443,-0.041185596250329665,0.02915661593890752,0.015024568622029902,-0.01413204731687762
3dof_gp_L400_N100_seed10,3dof,gp,400,10,11,0.3473945696405137,0.10536774592931963,-0.24202682371119405,0.14398663358401642,0.018133827892349307,-0.12585280569166712
3dof_gp_L400_N100_seed10,3dof,gp,400,10,12,0.13608717741034784,0.0824312856117271,-0.053655891798620736,0.007072389769032991,0.007347348129023321,0.0002749583599903297
3dof_gp_L400_N100_seed10,3dof,gp,400,10,13,0.6598052858313198,1.836340531676533,1.1765352458452134,0.04836409325573935,0.034067867653598295,-0.014296225602141055
3dof_gp_L400_N100_seed10,3dof,gp,400,10,14,0.16845539854730582,0.37368867425904223,0.2052332757117364,0.03153545861312602,0.02313996279626909,-0.008395495816856929
3dof_gp_L400_N100_seed10,3dof,gp,400,10,15,0.3296938787027123,0.05670854656354791,-0.27298533213916437,0.03526916698785542,0.010223524339536967,-0.025045642648318454
3dof_gp_L400_N100_seed10,3dof,gp,400,10,16,0.5735701757590236,0.11545418376790247,-0.45811599199112113,0.2049264314282386,0.15048287282118133,-0.05444355860705727
3dof_gp_L400_N100_seed10,3dof,gp,400,10,17,0.326108340655567,0.2508611281657806,-0.07524721248978639,0.061685020292794546,0.04923164678159031,-0.012453373511204235
3dof_gp_L400_N100_seed10,3dof,gp,400,10,18,0.4256602073554026,0.3502405031146028,-0.0754197042407998,0.07176257953026294,0.04242657226251214,-0.029336007267750798
