system,policy,length,n_samples,all3_win_rate,ratio_nmse_q_mean,ratio_nmse_q_std,imp_nmse_q_mean,imp_nmse_q_std,ratio_nmse_p_mean,ratio_nmse_p_std,imp_nmse_p_mean,imp_nmse_p_std,ratio_hamres_mean,ratio_hamres_std,imp_hamres_mean,imp_hamres_std
2dof,spline,500,100,0.49,0.8103215927502367,0.9146480811785239,0.73,0.44619604333847374,0.9294606898413328,0.6764835617294368,0.64,0.48241815132442173,0.07910833139592344,0.0775170646353203,1.0,0.0
2dof,spline,550,100,0.47,1.030015291947865,1.6007617369001357,0.67,0.4725815626252608,0.9828877602422358,0.7156687051526929,0.62,0.4878317312145634,0.07844751409513052,0.0752001439891284,1.0,0.0
2dof,spline,600,100,0.49,1.268180991335692,2.9855301871878823,0.69,0.4648231987117317,0.9635955478846391,0.7009970975462252,0.64,0.48241815132442184,0.08395498452052683,0.08427294735658646,1.0,0.0
2dof,spline,650,100,0.43,1.0300601380658738,1.7837916563120766,0.75,0.4351941398892446,0.973061978497813,0.5252492420519592,0.56,0.4988876515698588,0.100808184090456,0.08285659294644718,1.0,0.0
2dof,spline,700,100,0.45,1.195356917677318,1.584333892632698,0.62,0.48783173121456347,1.001119350532526,0.6338244988844042,0.66,0.4760952285695234,0.10324336697494867,0.07725072412471475,1.0,0.0
2dof,spline,750,100,0.49,1.1143332330948332,2.9163805383973807,0.72,0.45126085985421305,0.9439942423454668,0.5786489478355316,0.66,0.4760952285695232,0.12203318929804499,0.07919897523956601,1.0,0.0
2dof,spline,800,100,0.46,1.2450533004903317,2.3345927624768583,0.68,0.4688261722621507,0.9014480703788776,0.4486380416107723,0.58,0.49604496374885815,0.1477707582112886,0.10854389660881555,1.0,0.0
2dof,spline,850,100,0.5,0.9530698468532264,0.986689873313051,0.71,0.4560480215720686,0.9467621392993355,0.3886730725829617,0.63,0.48523658709390977,0.1456070558693763,0.10670356844915464,1.0,0.0
2dof,spline,900,100,0.47,0.8977295461140651,0.9539872587939069,0.75,0.4351941398892446,0.9670745838033649,0.4545712821623942,0.58,0.49604496374885815,0.15393460243976598,0.1065223167842947,1.0,0.0
2dof,spline,950,100,0.51,0.9620043294817654,0.9506184119173581,0.71,0.45604802157206853,0.9269765332225995,0.398882886704851,0.65,0.47937248544110217,0.20605826259662463,0.12345718053197222,1.0,0.0
2dof,spline,1000,100,0.45,1.0112042808192327,1.0145511089254802,0.64,0.48241815132442184,0.9288474769489896,0.3292271315954036,0.59,0.49431107042371036,0.2266583402473906,0.13118658159352206,1.0,0.0
2dof,zero,50,100,0.93,0.1670769523009085,0.5535056721527767,0.97,0.1714466079977653,0.12246414940931231,0.2937106831859027,0.96,0.19694638556693236,0.03805912253597144,0.07303422343022564,1.0,0.0
2dof,zero,100,100,0.81,0.43339835552740635,0.9242647816568259,0.91,0.28762349126466136,0.37524956812221405,0.6981408403464803,0.89,0.31446603773522014,0.03789870711957397,0.06560834762587149,1.0,0.0
2dof,zero,150,100,0.82,0.35968348894571023,0.3985721925364576,0.93,0.2564323999762428,0.42511352263174224,0.5680148857699713,0.87,0.33799766898963113,0.02468080525092556,0.02473304126968438,1.0,0.0
