system,policy,length,n_samples,all3_win_rate,ratio_nrmse_q_mean,ratio_nrmse_q_std,imp_nrmse_q_mean,imp_nrmse_q_std,ratio_nrmse_p_mean,ratio_nrmse_p_std,imp_nrmse_p_mean,imp_nrmse_p_std,ratio_hamres_mean,ratio_hamres_std,imp_hamres_mean,imp_hamres_std
2dof,spline,100,100,0.84,0.5315554691714026,0.31864678817465264,0.92,0.2726599243442907,0.4922043085366971,0.3206371640004833,0.92,0.2726599243442907,0.0483397059862469,0.05378532241619681,1.0,0.0
2dof,spline,150,100,0.76,0.5750311223147228,0.33289969971374606,0.88,0.3265986323710904,0.625274798171735,0.3944698817132802,0.83,0.37752516806863684,0.04205901817919045,0.042311342566686144,1.0,0.0
2dof,spline,200,100,0.71,0.6665287187574066,0.4092459300026599,0.83,0.37752516806863695,0.655858520200775,0.3498278143589233,0.82,0.3861229196653691,0.053122638142393847,0.06777543704955669,1.0,0.0
2dof,spline,250,100,0.74,0.6327410105556469,0.3639164440223903,0.84,0.3684529491774706,0.6345843434224403,0.29243216222867674,0.88,0.3265986323710904,0.04167960277906832,0.04562189322816803,1.0,0.0
2dof,spline,300,100,0.64,0.6808537965642165,0.43636426024509556,0.81,0.3942772444036625,0.7422644771839356,0.34862417329568324,0.76,0.42923469599092784,0.045200165785792015,0.044720603036501244,1.0,0.0
2dof,spline,350,100,0.66,0.676159401396282,0.41617310105160515,0.82,0.38612291966536916,0.7292372001965977,0.29851138342200195,0.8,0.4020151261036849,0.04870062026338967,0.053482529611887306,1.0,0.0
2dof,spline,400,100,0.63,0.7068605475944676,0.5363441082968271,0.83,0.3775251680686368,0.8398386817196811,0.2679278880726843,0.71,0.4560480215720687,0.06821783382242383,0.07159887904457486,1.0,0.0
2dof,spline,450,100,0.68,0.653694619756278,0.34383406220898083,0.88,0.3265986323710904,0.8613311497886191,0.29522438280149715,0.72,0.45126085985421277,0.06420626218282158,0.07060482468703855,1.0,0.0
2dof,spline,500,100,0.54,0.7444686238672368,0.41787256917912396,0.75,0.4351941398892446,0.8971649040774029,0.30559481869289973,0.65,0.4793724854411023,0.07910833139592344,0.0775170646353203,1.0,0.0
2dof,spline,550,100,0.53,0.8218147439018786,0.4840233036490323,0.74,0.44084400227680803,0.9240609508628793,0.2841543718828374,0.66,0.47609522856952335,0.07844751409513052,0.0752001439891284,1.0,0.0
2dof,spline,600,100,0.55,0.8686303505104443,0.6237912355201632,0.72,0.451260859854213,0.9204455356951169,0.304933209663315,0.68,0.4688261722621506,0.08395498452052683,0.08427294735658646,1.0,0.0
2dof,spline,650,100,0.47,0.8407459337022146,0.532582216015126,0.76,0.4292346959909279,0.9296464033809047,0.25366212578830716,0.57,0.497569851956243,0.100808184090456,0.08285659294644718,1.0,0.0
2dof,spline,700,100,0.45,0.894902468582708,0.47548363360562834,0.62,0.4878317312145633,0.9479357403410872,0.2531410092594601,0.63,0.4852365870939097,0.10324336697494867,0.07725072412471475,1.0,0.0
2dof,spline,750,100,0.52,0.8256004013692043,0.4489814468756778,0.75,0.4351941398892446,0.9272180753678539,0.2581088497380312,0.66,0.47609522856952313,0.12203318929804499,0.07919897523956601,1.0,0.0
2dof,spline,800,100,0.48,0.9039905998852923,0.5697833775100382,0.7,0.46056618647183833,0.9204058661248414,0.2265038808824227,0.57,0.497569851956243,0.1477707582112886,0.10854389660881555,1.0,0.0
2dof,spline,850,100,0.49,0.8638454405744552,0.4157455279079116,0.72,0.45126085985421305,0.9461203849524807,0.18373714031916163,0.63,0.4852365870939097,0.1456070558693763,0.10670356844915464,1.0,0.0
2dof,spline,900,100,0.45,0.8230382157777423,0.3704073704110587,0.74,0.440844002276808,0.9506423676640954,0.20913314761153107,0.59,0.4943110704237103,0.15393460243976598,0.1065223167842947,1.0,0.0
2dof,spline,950,100,0.57,0.8581971233769213,0.38438301708959516,0.73,0.4461960433384737,0.9386650944412289,0.18204004217836345,0.7,0.4605661864718382,0.20605826259662463,0.12345718053197222,1.0,0.0
2dof,spline,1000,100,0.49,0.8827272667882997,0.3652275885706553,0.67,0.47258156262526085,0.9446572763938604,0.16379130087836957,0.63,0.4852365870939097,0.2266583402473906,0.13118658159352206,1.0,0.0
2dof,zero,50,100,0.98,0.250427861750016,0.22291055913567742,0.99,0.1,0.19751803198029994,0.17868408774645794,0.99,0.1,0.03805912253597144,0.07303422343022564,1.0,0.0
2dof,zero,100,100,0.89,0.5074433116388046,0.2751475834594492,0.91,0.28762349126466136,0.31397366574226115,0.24057702317316765,0.97,0.1714466079977653,0.03789870711957397,0.06560834762587149,1.0,0.0
2dof,zero,150,100,0.94,0.5171239117280974,0.2534921261652591,0.95,0.21904291355759034,0.3847539827472168,0.21312631231849985,0.99,0.09999999999999999,0.02468080525092556,0.02473304126968438,1.0,0.0
2dof,zero,200,100,0.85,0.5771195346660487,0.3111530178103359,0.9,0.30151134457776363,0.4661292810203976,0.2678137080312517,0.94,0.23868325657594203,0.022509791095517234,0.01958543996190368,1.0,0.0
2dof,zero,250,100,0.89,0.5584928982941143,0.2846561625967392,0.94,0.238683256575942,0.4680876146042368,0.30219582109204673,0.93,0.25643239997624273,0.019431565731173713,0.02177730047496339,1.0,0.0
2dof,zero,300,100,0.82,0.6212096364361127,0.3022193560868506,0.89,0.31446603773522014,0.5613805238628572,0.3339354681326551,0.92,0.27265992434429076,0.014411990550330447,0.012246673930181777,1.0,0.0
2dof,zero,350,100,0.86,0.5963009277360545,0.26047611623365036,0.93,0.2564323999762428,0.5223567607057595,0.2871866873903848,0.92,0.2726599243442907,0.015521269070362761,0.01810312434067181,1.0,0.0
2dof,zero,400,100,0.79,0.6190648723020628,0.2573990025769525,0.9,0.30151134457776363,0.5966052640928852,0.30456227679864817,0.89,0.3144660377352201,0.021619981671224253,0.02779826767935981,1.0,0.0
2dof,zero,450,100,0.81,0.6363328348478743,0.26032032961838464,0.89,0.31446603773522014,0.5849724441193909,0.29190761510511126,0.92,0.2726599243442907,0.01888043691267423,0.019529001277569003,1.0,0.0
2dof,zero,500,100,0.75,0.7065191389983706,0.26160829509423944,0.89,0.3144660377352202,0.6345639281953943,0.3242792145717423,0.84,0.3684529491774707,0.01860767959907444,0.01848032378588835,1.0,0.0
2dof,zero,550,100,0.79,0.7120974322756196,0.3295644525649944,0.85,0.35887028128263665,0.6309062965399778,0.29503372116052257,0.89,0.31446603773522014,0.021388106870114422,0.026351352053961073,1.0,0.0
2dof,zero,600,100,0.74,0.707908973432484,0.3198787196587313,0.84,0.3684529491774708,0.6552429720970204,0.27244732956210904,0.88,0.3265986323710903,0.019290002239038703,0.017258948665657206,1.0,0.0
2dof,zero,650,100,0.81,0.6771277908580905,0.23210005169472997,0.96,0.19694638556693236,0.708579596090256,0.2823906225056758,0.85,0.35887028128263665,0.02029418683362193,0.019143702097756832,1.0,0.0
