sigma,policy,L,ung_mean,ung_median,ung_std,gui_mean,gui_median,gui_std,ratio_mean,ratio_median
10,zero,500,3.861999238775626,0.12344962684491523,31.397202769523613,0.057008275386907586,0.04360278517209869,0.03665539746235579,67.74453730734267,2.8312326003410977
15,zero,500,1.1876915096899407,0.0798496168356583,9.336825620742422,0.05928922253493564,0.044553009806982374,0.044335445429089564,20.03216535669875,1.7922384409401724
20,zero,500,0.5429633612217082,0.06410093217769369,3.942677962033077,0.0675514024998539,0.04803747231700952,0.05572826790368458,8.037780728873578,1.3343943610246178
30,zero,500,0.22787842843386144,0.06885057045415094,1.1670454424442434,0.08754677200885258,0.06154794283901108,0.08063608947236886,2.6029335314706836,1.1186494182956057
0,zero,1000,9415.855937720158,322.7716517966131,85192.58299971248,0.33635490608243046,0.25911769094180326,0.20381363406651104,27993.811796556984,1245.6565610146097
1,zero,1000,1680.5772867410587,58.72534266649106,15191.934995233605,0.3067588487351831,0.24004676408877001,0.18215898051444054,5478.496524779493,244.64125933717753
2,zero,1000,295.07480267638255,10.840799434139118,2660.129173613557,0.2442577705232275,0.19470691594872383,0.1390239407725075,1208.0467370364483,55.67752630314399
3,zero,1000,93.83024964361564,3.5452185155537017,843.7413211451598,0.18556014427857348,0.14942191783717335,0.10232746277653237,505.659499287478,23.72622816564946
5,zero,1000,21.064365997178907,0.8598428466225957,188.81951491160356,0.11512347242150653,0.09386587509864132,0.06548112058368087,182.97194789308506,9.160334847131699
7,zero,1000,7.777235504671658,0.3560153065895891,69.44392020079303,0.08581198249504811,0.0661597773928955,0.05435650438209702,90.63111326113989,5.3811442634602855
10,zero,1000,2.7188753230825298,0.1739612420491201,23.908679648864496,0.07052250650577126,0.051185042551912335,0.05068140397320549,38.553299617336044,3.398673389255993
15,zero,1000,0.8536524886724668,0.09831012132256156,7.0967448062276075,0.06629059171992638,0.04822157686710195,0.05201526702730477,12.877430515013282,2.0387164358706684
20,zero,1000,0.4016937527397067,0.07369153597951218,2.999637387392444,0.06873701154943336,0.050935164149965184,0.055826518642115644,5.8439222725128515,1.4467713456767677
30,zero,1000,0.17584752846855595,0.06384475470035245,0.8904261918675141,0.07761921685221262,0.054747306172937875,0.06592159030725189,2.2655153659095855,1.1661716194524203
0,spline,200,757.7350583309424,444.649791751331,913.4021262963332,2.3533629490879093,1.9528486410672379,1.4596908875564176,321.97968384970835,227.6929109612553
1,spline,200,139.20588799430317,83.73189834370437,166.51022274825885,2.220873212437697,1.8040637021528443,1.3660574771435348,62.68070019247367,46.41293888003209
2,spline,200,25.685774004928522,15.534268432810746,28.424685496943187,1.9492483936222569,1.5797822122667444,1.1933845535700935,13.177270833706864,9.833170871395913
3,spline,200,9.293292446677967,6.244196153748793,9.603246018455943,1.701088859097987,1.3752818372942721,1.0610151554530811,5.463143443080212,4.540302928768126
5,spline,200,3.0730713654944113,2.174573992221827,2.421609771921773,1.3943568725589544,1.1458893174525415,0.9168708809263381,2.20393460667974,1.8977173092565196
7,spline,200,1.8236439242941502,1.5873950872584497,1.1527848498589643,1.2354831119575334,1.017350883855221,0.8246280918711275,1.4760573468339189,1.5603221193882126
10,spline,200,1.2974498915121055,1.140452263643627,0.7746795145423976,1.0968634670266593,0.9077076378169757,0.7117305496866265,1.1828727371412864,1.2564092402994413
