model,candidate_id,policy,length,seed,med_ung_nrmse_q,med_gui_nrmse_q,med_ung_nrmse_p,med_gui_nrmse_p,ratio_q,ratio_p,prob_q,prob_p
dpf,mode=one_step|steps=30|after=15|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.001,sinusoidal,300,11,0.19431655099916267,0.07585113268144045,0.03944586331671473,0.020310385953038967,0.3903482862958354,0.5148926717604042,0.8333333333333334,0.9166666666666666
dpf,mode=robust_hamres|steps=30|after=15|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.001|ham_sigma=0.5|ham_delta=2.0,sinusoidal,300,11,0.19431655099916267,0.1258026150662996,0.03944586331671473,0.018026106474356308,0.6474107039232171,0.4569834441097897,0.75,0.8333333333333334
dpf,mode=robust_hamres|steps=50|after=15|before=20|alpha_q=0.005|alpha_p=0.005|trust=0.001|ham_sigma=0.5|ham_delta=2.0,sinusoidal,300,11,0.19431655099916267,0.11893782203797333,0.03944586331671473,0.01848519910406196,0.6120828175798871,0.46862199353180517,0.75,0.8333333333333334
dpf,mode=one_step|steps=50|after=10|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.001,sinusoidal,300,11,0.19431655099916267,0.08640618693714758,0.03944586331671473,0.019166068569463287,0.44466715003355484,0.4858828520389332,0.8333333333333334,0.9166666666666666
dpf,mode=robust_hamres|steps=50|after=10|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.0|ham_sigma=1.0|ham_delta=2.0,sinusoidal,300,11,0.19431655099916267,0.15714888000941354,0.03944586331671473,0.02591749356933426,0.8087261697542723,0.6570395826107328,0.8333333333333334,0.5
dpf,mode=robust_hamres|steps=50|after=10|before=20|alpha_q=0.005|alpha_p=0.005|trust=0.0|ham_sigma=0.5|ham_delta=2.0,sinusoidal,300,11,0.19431655099916267,0.11896413133556347,0.03944586331671473,0.018724174523964132,0.6122182115926712,0.47468030737788364,0.75,0.8333333333333334
dpf,mode=robust_hamres|steps=30|after=15|before=20|alpha_q=0.005|alpha_p=0.005|trust=0.001|ham_sigma=0.5|ham_delta=2.0,sinusoidal,300,11,0.19431655099916267,0.09122206295707422,0.03944586331671473,0.0197290222235725,0.46945081357206314,0.5001544031414963,0.75,0.9166666666666666
dpf,mode=robust_hamres|steps=50|after=10|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.001|ham_sigma=0.5|ham_delta=2.0,sinusoidal,300,11,0.19431655099916267,0.13073045909664674,0.03944586331671473,0.0187164207087794,0.6727705819418854,0.47448373885249795,0.8333333333333334,0.75
dpf,mode=robust_hamres|steps=30|after=10|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.0|ham_sigma=1.0|ham_delta=2.0,sinusoidal,700,10,0.19867432372630445,0.18409592598337673,0.052210531621420427,0.0575626516502767,0.9266216314745782,1.1025103530388198,0.5833333333333334,0.6666666666666666
dpf,mode=one_step|steps=30|after=15|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.0,sinusoidal,700,10,0.19867432372630445,0.18847509849411007,0.052210531621420427,0.046080816968106335,0.9486635965790682,0.8825962030465276,0.5,0.8333333333333334
dpf,mode=robust_hamres|steps=30|after=15|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.0|ham_sigma=0.5|ham_delta=2.0,sinusoidal,700,10,0.19867432372630445,0.24992314330108656,0.052210531621420427,0.05582794354952793,1.2579539147966747,1.0692851004532462,0.5,0.5833333333333334
dpf,mode=robust_hamres|steps=50|after=15|before=20|alpha_q=0.005|alpha_p=0.005|trust=0.0|ham_sigma=1.0|ham_delta=1.0,sinusoidal,700,10,0.19867432372630445,0.18677572746404003,0.052210531621420427,0.05800830299130183,0.9401100452283103,1.1110460129370288,0.5833333333333334,0.75
dpf,mode=one_step|steps=30|after=15|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.001,sinusoidal,700,10,0.19867432372630445,0.18857155084928903,0.052210531621420427,0.04609060014560587,0.9491490762996979,0.8827835824352394,0.5,0.8333333333333334
dpf,mode=robust_hamres|steps=30|after=15|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.001|ham_sigma=0.5|ham_delta=2.0,sinusoidal,700,10,0.19867432372630445,0.2499503102629032,0.052210531621420427,0.05583551248177049,1.2580906559784597,1.06943006990687,0.5,0.5833333333333334
dpf,mode=robust_hamres|steps=50|after=15|before=20|alpha_q=0.005|alpha_p=0.005|trust=0.001|ham_sigma=0.5|ham_delta=2.0,sinusoidal,700,10,0.19867432372630445,0.26368919248281,0.052210531621420427,0.06076410123258305,1.3272434380905234,1.1638284335655633,0.5,0.6666666666666666
dpf,mode=one_step|steps=50|after=10|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.001,sinusoidal,700,10,0.19867432372630445,0.14038466261914823,0.052210531621420427,0.03950505777461661,0.7066069735943504,0.7566492151634951,0.5833333333333334,0.75
dpf,mode=robust_hamres|steps=50|after=10|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.0|ham_sigma=1.0|ham_delta=2.0,sinusoidal,700,10,0.19867432372630445,0.21113630030312647,0.052210531621420427,0.056455828390269275,1.0627256524300028,1.0813111193663296,0.5,0.6666666666666666
dpf,mode=robust_hamres|steps=50|after=10|before=20|alpha_q=0.005|alpha_p=0.005|trust=0.0|ham_sigma=0.5|ham_delta=2.0,sinusoidal,700,10,0.19867432372630445,0.2631946297740449,0.052210531621420427,0.060583593695889566,1.3247541244263865,1.1603711323068375,0.5,0.6666666666666666
dpf,mode=robust_hamres|steps=30|after=15|before=20|alpha_q=0.005|alpha_p=0.005|trust=0.001|ham_sigma=0.5|ham_delta=2.0,sinusoidal,700,10,0.19867432372630445,0.19275429741257066,0.052210531621420427,0.06785771529063435,0.9702023582982506,1.2996940115965865,0.5,0.8333333333333334
dpf,mode=robust_hamres|steps=50|after=10|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.001|ham_sigma=0.5|ham_delta=2.0,sinusoidal,700,10,0.19867432372630445,0.1975838787028015,0.052210531621420427,0.04663209428006834,0.994511394310796,0.8931549408115312,0.5,0.8333333333333334
dpf,mode=robust_hamres|steps=30|after=10|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.0|ham_sigma=1.0|ham_delta=2.0,sinusoidal,700,11,0.09339681385428472,0.05408576919722317,0.05057060499312888,0.03019816155174554,0.5790965126669779,0.597148512576597,0.8333333333333334,0.6666666666666666
dpf,mode=one_step|steps=30|after=15|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.0,sinusoidal,700,11,0.09339681385428472,0.07481760431966174,0.05057060499312888,0.03315709318331994,0.8010723410371388,0.6556594129697491,0.6666666666666666,0.75
dpf,mode=robust_hamres|steps=30|after=15|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.0|ham_sigma=0.5|ham_delta=2.0,sinusoidal,700,11,0.09339681385428472,0.04469193433200554,0.05057060499312888,0.02418193968436594,0.47851669117677537,0.47818173596403646,0.6666666666666666,0.75
dpf,mode=robust_hamres|steps=50|after=15|before=20|alpha_q=0.005|alpha_p=0.005|trust=0.0|ham_sigma=1.0|ham_delta=1.0,sinusoidal,700,11,0.09339681385428472,0.05835574023582095,0.05057060499312888,0.033968837642656145,0.6248151069357254,0.67171111849011,0.6666666666666666,0.6666666666666666
dpf,mode=one_step|steps=30|after=15|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.001,sinusoidal,700,11,0.09339681385428472,0.07486754990598449,0.05057060499312888,0.033138794354655,0.8016071085978467,0.6552975658321197,0.6666666666666666,0.75
dpf,mode=robust_hamres|steps=30|after=15|before=20|alpha_q=0.01|alpha_p=0.01|trust=0.001|ham_sigma=0.5|ham_delta=2.0,sinusoidal,700,11,0.09339681385428472,0.044630994923199066,0.05057060499312888,0.02418446266600052,0.47786421272176566,0.4782316262438724,0.6666666666666666,0.75
